Date,Open,High,Low,Close,AdjustedClose,Volume,DividendAmount
2005-03-31,44.99,45.11,38.83,41.67,1.2859,524140000,0
2002-08-30,15.11,16.25,13.97,14.75,0.2276,91994400,0
2019-03-29,174.28,197.69,169.5,189.95,46.6603,650981384,0
2014-07-31,93.52,99.44,92.57,95.6,21.6061,1035191700,0
2009-02-27,89.1,103,86.51,89.31,2.756,495266100,0
2007-10-31,154.63,190.12,152.93,189.95,5.8615,831349700,0
2007-04-30,94.14,102.5,89.6,99.8,3.0797,480705000,0
2016-01-29,102.61,105.85,92.39,97.34,22.5818,1271848087,0
2016-07-29,95.49,104.55,94.37,104.21,24.4543,685779613,0
2015-08-31,121.5,122.57,92,112.76,26.047,1606359115,0
2014-12-31,118.81,119.25,106.26,110.38,25.179,1073775862,0
2014-08-29,94.9,102.9,93.28,102.5,23.2808,930931500,0
2011-05-31,349.74,351.83,329.42,347.83,10.7335,246859300,0
2011-04-29,351.11,355.13,320.16,350.13,10.8044,330493900,0
2010-11-30,302.22,321.3,297.76,311.15,9.6016,339574500,0
2019-12-31,267.27,293.97,256.29,293.65,72.9086,598871365,0
2008-05-30,175.01,192.24,172,188.75,5.8245,663864800,0
2004-11-30,52.5,69.57,52.04,67.05,1.0345,311421500,0
2000-06-30,81.75,103.94,50.31,52.38,0.8082,89106200,0
2009-07-31,143.5,165,134.42,163.39,5.0419,390790600,0
2003-11-28,22.83,23.3,19.85,20.91,0.3226,88823300,0
2003-07-31,18.87,21.57,18.51,21.08,0.3252,93183400,0
2013-07-31,402.69,457.3425,401.22,452.53,14.2649,233504100,0
2008-07-31,164.05,180.91,146.53,158.95,4.9049,705348600,0
2007-01-31,86.29,97.8,81.9,85.73,2.6455,971777900,0
2006-05-31,70.78,73.8,58.69,59.77,1.8444,557456400,0
2004-01-30,21.55,24.84,21.18,22.56,0.3481,141567900,0
2010-06-30,259.69,279.01,242.2,251.53,7.7618,594687600,0
2011-06-30,348.87,352.132,310.5,335.67,10.3582,330851800,0
2010-10-29,283.75,319,277.77,300.98,9.2877,436949200,0
2010-02-26,192.37,205.17,190.85,204.62,6.3142,384860000,0
2006-09-29,68.48,77.78,67.82,76.98,2.3755,632912800,0
2002-10-31,14.59,16.44,13.36,16.07,0.2479,118061300,0
2011-08-31,397.78,399.5,353.02,384.83,11.8752,576521400,0
2004-06-30,27.79,34.19,27.61,32.54,0.5021,146914900,0
2012-05-31,584.9,596.76,522.18,577.73,17.8278,396655200,0
2009-12-31,202.24,213.95,188.68,210.732,6.5028,406927100,0
2016-12-30,110.365,118.0166,108.25,115.82,27.4668,608771645,0
2017-09-29,164.8,164.94,149.16,154.12,37.0068,669594016,0
2017-04-28,143.71,145.46,140.06,143.65,34.2134,371280180,0
2015-07-31,126.9,132.97,119.22,121.3,27.8937,1058280697,0
2006-02-28,75,76.46,62.9,68.49,2.1135,670024900,0
2001-11-30,17.65,21.55,17.25,21.3,0.3286,95888300,0
2017-11-30,169.87,176.24,165.28,171.85,41.4129,581374608,0
2010-03-31,205.75,237.48,205.45,235,7.2517,434077600,0
2008-01-31,199.27,200.26,126.14,135.36,4.177,1256210300,0
2006-06-30,59.85,63.1,55.41,57.27,1.7673,640593700,0
2005-02-28,77.05,90.88,43.96,44.86,1.3843,383016900,0
2003-06-30,18.1,19.69,16.63,19.06,0.2941,109166700,0
2016-04-29,108.78,112.39,92.51,93.74,21.8637,872383623,0
2007-12-31,181.86,202.96,176.99,198.08,6.1124,616167100,0
2006-07-31,57.52,68.63,50.16,67.96,2.0971,624276500,0
2005-09-30,47,54.56,46.09,53.61,1.6543,440991800,0
2018-02-28,167.17,180.62,150.24,178.12,43.0967,888378184,0
2000-03-31,118.56,150.38,114,135.81,1.0477,77663900,0
2003-01-31,14.36,15.38,13.56,14.36,0.2216,107961300,0
2006-11-30,81.1,93.159,77.79,91.66,2.8285,494103000,0
2004-07-30,32.08,33.63,28.74,32.34,0.499,173153200,0
2001-12-31,21.06,24.03,20.09,21.9,0.3379,82675700,0
2019-11-29,249.54,268,249.16,267.25,66.3539,448922253,0
2002-02-28,24.96,25.98,20.94,21.7,0.3348,139954000,0
2001-07-31,23.64,25.22,17.85,18.79,0.2899,154555400,0
2007-05-31,99.59,122.17,98.55,121.191,3.7398,620181000,0
2006-12-29,91.8,92.33,76.77,84.84,2.618,603242600,0
2003-03-31,15.01,15.16,14.04,14.14,0.2182,71935800,0
1999-12-31,101,118,91.06,102.81,0.7931,84091200,0
2012-08-31,615.905,680.87,600.25,665.24,20.6158,295578800,0
2008-04-30,146.3,180,143.61,173.95,5.3678,813820800,0
2018-08-31,199.13,228.87,197.31,227.63,55.4835,700318837,0
2016-09-30,106.14,116.18,102.53,113.05,26.6715,970096738,0
2008-08-29,159.94,180.45,152.91,169.53,5.2314,467348400,0
2006-04-28,63.66,72.05,61.05,70.39,2.1721,718545800,0
2012-03-30,548.17,621.45,516.221,599.55,18.5011,556583500,0
2013-06-28,450.73,454.43,388.87,396.53,12.4996,250662000,0
2013-05-31,444.46,465.75,418.9,449.735,14.1768,337411800,0
2001-03-30,17.81,23.75,17.19,22.07,0.3405,192840400,0
2015-05-29,126.1,132.97,123.36,130.28,29.9587,954152126,0
2015-11-30,119.87,123.82,111,118.3,27.4442,750606735,0
2014-01-31,555.68,560.2,493.55,500.6,15.9776,313069800,0
2012-10-31,671.5,676.75,587.7,595.32,18.449,433672500,0
2007-02-28,86.23,90.81,82.86,84.61,2.6109,490084100,0
2006-08-31,67.22,70,62.58,67.85,2.0937,638844500,0
2004-10-29,39.15,53.2,37.65,52.4,0.8085,287399400,0
2015-12-31,118.75,119.86,104.82,105.26,24.4191,922626259,0
2012-11-30,598.22,603,505.7501,585.28,18.224,461780400,0
2010-04-30,237.49,272.46,232.75,261.09,8.0568,441683200,0
2018-05-31,166.41,190.37,165.27,186.87,45.3888,620976206,0
2007-03-30,84.03,96.83,83.75,92.91,2.867,568523000,0
2003-02-28,14.41,15.3,13.8,15.01,0.2316,73469700,0
2007-09-28,139.94,155,130,153.47,4.7358,747543700,0
2018-06-29,187.99,194.2,180.73,185.11,44.9613,527624365,0
2014-10-31,100.59,108.04,95.18,108,24.53,1360280122,0
2013-04-30,441.9,445.25,385.1,442.78,13.865,391553200,0
2007-07-31,121.05,148.92,119.3,131.76,4.0659,857806200,0
2018-12-31,184.46,184.94,146.59,157.74,38.5828,898917007,0
2012-04-30,601.83,644,555,583.98,18.0206,557106800,0
2008-02-29,136.24,136.59,115.44,125.02,3.8579,888069800,0
2020-08-31,432.8,515.14,126,129.04,129.04,1184207050,0
2009-05-29,125.8,135.9,119.38,135.81,4.1909,337755100,0
2009-09-30,167.99,188.9,164.11,185.35,5.7196,356761400,0
2012-02-29,458.41,547.61,453.98,542.44,16.7388,406019800,0
2004-09-30,34.3,39.27,34.19,38.75,0.5979,137026900,0
2019-02-28,166.96,175.87,165.93,173.15,42.5335,472540723,0
2014-02-28,502.61,551.19,499.3,526.24,16.8959,210013100,0
2013-03-28,438,469.95,419,442.66,13.8612,327745600,0
2000-09-29,61.31,64.12,25.37,25.75,0.3973,259230900,0
2019-08-30,213.9,218.03,192.58,208.74,51.6735,683515746,0
2017-02-28,127.03,137.48,127.01,136.99,32.6272,574968547,0
2016-06-30,99.02,101.89,91.5,95.6,22.4338,780630235,0
2016-05-31,93.965,100.73,89.47,99.86,23.4335,901144768,0
2015-04-30,124.82,134.54,123.1,125.15,28.6601,996135511,0
2011-01-31,325.64,348.6,324.8365,339.32,10.4708,387197700,0
2008-06-30,188.5,189.95,164.15,167.44,5.1669,695564100,0
2017-08-31,149.1,164.52,148.41,164,39.3791,638221161,0
2009-11-30,189.8,208,185.57,199.91,6.1689,301956600,0
2004-12-31,67.79,67.95,61.6,64.4,0.9936,284796700,0
2016-08-31,104.41,110.23,104,106.1,25.0318,630128567,0
2013-01-31,553.82,555,435,455.49,14.1827,468693700,0
2005-06-30,39.89,40.76,35.52,36.81,1.1359,404542700,0
2002-12-31,15.9,16.1,13.78,14.33,0.2211,80900700,0
2000-08-31,50.31,61.5,44.25,60.94,0.9403,100644400,0
2013-10-31,478.45,539.25,478.28,522.702,16.5859,279919000,0
2006-10-31,75.1,82.6,72.6,81.08,2.502,513855600,0
2005-05-31,36.21,40.94,33.11,39.7593,1.2269,459224800,0
2013-08-30,455.7527,513.74,453.26,487.216,15.4599,287797800,0
2013-12-31,558,575.1358,538.8,561.02,17.906,252049900,0
2004-04-30,26.9,29.58,25.49,25.78,0.3978,159467400,0
2015-09-30,110.18,116.89,107.36,109.95,25.3979,1203789074,0
2011-10-31,380.37,426.7,354.24,404.78,12.4908,469336700,0
2009-06-30,136.47,146.4,132.88,142.43,4.3952,452699000,0
2001-01-31,14.88,22.5,14.44,21.62,0.3336,244811800,0
2011-11-30,397.41,408,363.32,382.2,11.7941,320132200,0
2006-03-31,69,69.99,57.67,62.72,1.9354,828308300,0
2000-10-31,26.69,26.75,17.5,19.56,0.3018,391174800,0
2015-02-27,118.05,133.6,116.08,128.46,29.4181,1136535493,0
2000-04-28,135.5,139.5,104.87,124.06,0.9571,77342900,0
2000-12-29,17,17.5,13.63,14.88,0.2296,158195900,0
2019-04-30,191.64,208.48,188.38,200.67,49.2937,506117812,0
2012-01-31,409.4,458.24,409,456.48,14.0862,244994800,0
2008-11-28,105.93,111.79,79.14,92.67,2.8596,843552200,0
2005-07-29,36.83,44.38,36.29,42.65,1.3161,360508800,0
2020-02-28,304.3,327.22,256.37,273.36,68.0343,755223231,0
2019-10-31,225.07,249.75,215.13,248.76,61.5804,621478768,0
2018-01-31,170.16,180.1,164.7,167.43,40.3477,639245534,0
2017-03-31,137.89,144.5,137.05,143.66,34.2158,562091214,0
2014-11-28,108.22,119.75,107.72,118.93,27.1294,820471729,0
2014-03-31,523.42,549,522.81,536.74,17.233,178632100,0
2009-08-31,165.21,172.49,159.42,168.21,5.1907,291611600,0
2005-10-31,54.16,57.98,47.87,57.59,1.7771,665837400,0
2020-06-30,317.75,372.38,317.21,364.8,91.032,810900890,0
2001-10-31,15.49,19.42,14.83,17.56,0.2709,134718700,0
2005-04-29,42.09,44.45,34,36.06,1.1128,691982800,0
2012-09-28,665.76,705.07,656,667.105,20.6736,328535900,0
2008-10-31,111.92,116.4,85,107.59,3.32,1479525400,0
2014-04-30,537.76,599.43,511.33,590.09,18.9459,229823600,0
2015-03-31,129.25,130.28,121.63,124.43,28.4952,1138641910,0
2012-12-31,593.65,594.59,501.23,532.1729,16.5704,433312600,0
2009-01-30,85.88,97.17,78.2,90.13,2.7813,646633600,0
2008-12-31,91.3,103.6,84.55,85.35,2.6338,721923100,0
2005-12-30,68.95,75.46,68.81,71.89,2.2184,466577300,0
2003-04-30,14.2,14.95,12.72,14.22,0.2194,138845400,0
2016-10-31,112.71,118.69,112.28,113.54,26.7871,686914224,0
2011-03-31,355.47,361.67,326.26,348.5075,10.7544,403802100,0
2002-06-28,23.39,23.45,15.98,17.72,0.2734,155500300,0
2018-03-29,178.54,183.5,164.94,167.78,40.5949,701387082,0
2018-04-30,166.64,178.94,160.63,165.26,39.9852,666360147,0
2017-10-31,154.26,169.6499,152.46,169.04,40.5893,496135305,0
2017-07-31,144.88,153.99,142.41,148.73,35.5683,411377229,0
2016-11-30,113.46,113.77,104.08,110.52,26.2099,721554967,0
2011-12-30,382.54,409.09,377.68,405,12.4976,225233300,0
2004-05-28,26,28.78,25.5,28.06,0.4329,94719200,0
2003-12-31,21.04,21.9,19.25,21.37,0.3297,97390600,0
2019-05-31,209.88,215.31,174.99,175.07,43.1731,739456573,0
2002-07-31,17.71,18.79,13.8,15.26,0.2354,144971700,0
2002-09-30,14.49,15.19,14.05,14.5,0.2237,94497100,0
2010-09-30,247.47,294.73,246.28,283.75,8.7561,423211400,0
2015-10-30,109.07,121.22,107.31,119.5,27.6039,1113703829,0
2001-04-30,22.09,27.12,18.75,25.49,0.3933,199267700,0
2010-05-28,263.84,267.88,199.25,256.88,7.9269,645809100,0
2014-09-30,103.06,103.74,96.14,100.75,22.8833,1523782675,0
2013-02-28,459.11,484.94,437.66,441.4,13.8218,333715500,0
2012-07-31,584.73,619.87,570,610.76,18.847,318201800,0
2009-10-30,185.35,208.7099,180.7,188.5,5.8168,462720600,0
2007-08-31,133.64,139.65,111.62,138.48,4.2733,870028500,0
2003-09-30,22.66,23.32,20.149,20.72,0.3197,95490800,0
2001-05-31,25.41,26.7,19.3,19.95,0.3078,133364900,0
2016-03-31,97.65,110.42,97.42,108.99,25.4205,745756771,0
2020-03-31,282.28,304,212.61,254.29,63.2881,1570331732,0
2005-08-31,42.6,48.33,42.02,46.89,1.4469,335743100,0
2020-04-30,246.5,294.53,236.9,293.8,73.1214,816530808,0
2000-01-31,104.87,121.5,86.5,103.75,0.8004,112099800,0
2018-09-28,228.41,229.67,215.3,225.74,55.0228,678972040,0
2009-04-30,104.09,127.2,103.89,125.83,3.8829,422202900,0
2003-05-30,14.25,19,14,17.95,0.277,193063300,0
2013-09-30,493.1,507.92,447.22,476.75,15.1278,308247900,0
2006-01-31,72.332,86.4,70.87,75.51,2.3301,781370400,0
2004-03-31,24.09,28.14,23.6,27.04,0.4172,207609200,0
2002-11-29,15.94,17.38,15.01,15.5,0.2392,80923600,0
2002-01-31,22.05,24.73,20.26,24.72,0.3814,152060300,0
2012-06-29,569.16,590,548.5,584,18.0213,280565200,0
2016-02-29,96.47,98.89,92.59,96.69,22.5517,810862547,0
2014-06-30,633.96,651.26,89.65,92.93,21.0027,853194497,0
2000-11-30,19.44,23,16.12,16.5,0.2546,151578100,0
2000-02-29,104,119.94,97,114.62,0.8842,65355200,0
2020-01-31,296.24,327.85,292.75,309.51,76.8464,734044103,0
2017-12-29,169.95,177.2,166.46,169.23,40.7815,518560008,0
2017-01-31,115.8,122.44,114.76,121.35,28.7783,563331160,0
2011-07-29,335.95,404.5,334.2,390.48,12.0496,380498100,0
2007-11-30,188.6,192.68,150.63,182.22,5.623,935706800,0
2000-05-31,124.87,126.25,81.75,84,0.648,87569200,0
2019-06-28,175.6,201.57,170.27,197.92,48.808,515218768,0
2001-09-28,18.5,19.08,14.68,15.51,0.2393,98777200,0
2001-06-29,20.13,25.1,19.35,23.25,0.3587,136397600,0
2009-03-31,89.31,109.98,82.33,105.12,3.2438,550878500,0
