Date,Open,High,Low,Close,AdjustedClose,Volume,DividendAmount
2018-05-31,1563.22,1635,1546.02,1629.62,1629.62,71615299,0
2014-05-30,304.13,314.87,284.38,312.55,312.55,78579200,0
2001-04-30,10.33,18.16,8.1,15.78,15.78,189780400,0
2014-12-31,338.12,340.64,293.03,310.35,310.35,86874154,0
2013-02-28,268.93,274.3,255.11,264.27,264.27,68661700,0
2005-08-31,44.88,46.97,41.91,42.7,42.7,114751100,0
2003-01-31,19.19,23.29,18.55,21.85,21.85,169197200,0
2019-06-28,1760.01,1935.2,1672,1893.63,1893.63,74746589,0
2012-10-31,255.4,261.9,222.92,232.8931,232.8931,81568500,0
2003-03-31,22.15,28.04,21.36,26.03,26.03,164093600,0
2017-08-31,990.65,1003.21,936.33,980.6,980.6,75779478,0
2014-02-28,358.98,365.865,337.73,362.1,362.1,83009000,0
2008-12-31,42,54.85,38.82,51.28,51.28,206194300,0
2005-03-31,35.06,36.5,32.82,34.27,34.27,119566600,0
2013-01-31,256.08,284.72,253.26,265.5,265.5,84226400,0
2008-08-29,76.36,91.75,74.05,80.81,80.81,149044400,0
2003-07-31,36.33,43.1,34,41.64,41.64,229239500,0
2018-03-29,1513.6,1617.54,1365.2,1447.34,1447.34,128401298,0
2012-05-31,229.4,232.97,207.11,212.91,212.91,92774300,0
2018-08-31,1784,2025.57,1776.02,2012.71,2012.71,96575676,0
2016-04-29,590.49,669.98,585.25,659.59,659.59,78464320,0
2013-04-30,266.98,275.8,248.56,253.81,253.81,76916200,0
2008-01-31,95.35,97.43,68.84,77.7,77.7,288335400,0
2017-01-31,757.92,843.84,747.7,823.48,823.48,70714587,0
2011-08-31,225,227.45,177.1,215.23,215.23,155194700,0
2000-07-31,36.69,43.94,27.88,30.13,30.13,198524600,0
2000-01-31,81.5,91.5,58.44,64.56,64.56,262209000,0
2014-08-29,313.69,346.67,304.588,339.04,339.04,62015200,0
2013-09-30,284.73,320.57,284.17,312.64,312.64,43468800,0
2004-07-30,53.73,54.04,37.38,38.92,38.92,202437000,0
2002-09-30,14.71,17.93,14.24,15.93,15.93,146027000,0
2001-12-31,11.08,12.8,9.51,10.82,10.82,212455500,0
2001-06-29,17.22,17.92,11.2,14.15,14.15,136695900,0
2020-08-31,3180.51,3495,3073,3450.96,3450.96,83519879,0
2007-07-31,68.81,89,68.01,78.54,78.54,264827800,0
2005-02-28,43,43.59,33.2,35.18,35.18,218655100,0
2020-06-30,2448,2796,2437.13,2758.82,2758.82,87845661,0
2006-11-30,38.125,43.25,36.87,40.34,40.34,146802400,0
2019-03-29,1655.13,1823.75,1586.57,1780.75,1780.75,100832035,0
2010-06-30,124.97,129.15,106.01,109.26,109.26,133378500,0
2015-09-30,499.14,549.78,490.5,511.89,511.89,76602841,0
2004-06-30,47.88,54.7,47.7,54.4,54.4,161251200,0
2003-02-28,21.94,22.5,19.61,22.01,22.01,115941900,0
2005-06-30,35.57,36.99,32.93,33.09,33.09,106233600,0
2000-04-28,65.44,68.63,40.81,55.19,55.19,162012500,0
2016-01-29,656.29,657.715,547.18,587,587,130200780,0
2013-07-31,279,313.62,277.16,301.22,301.22,67536900,0
2006-03-31,37.43,37.83,35.1391,36.53,36.53,122178100,0
2005-11-30,39.97,49.43,39.65,48.46,48.46,216455300,0
2010-11-30,164.45,181.8425,156.77,175.4,175.4,131011400,0
2000-11-30,35.81,40.88,22.13,24.69,24.69,159338900,0
2017-10-31,964,1122.79,950.37,1105.28,1105.28,80304293,0
2015-04-30,372.1,452.65,368.34,421.78,421.78,84404887,0
2012-08-31,234.14,250,228.66,248.27,248.27,60192400,0
2011-11-30,208.11,222.35,181.51,192.29,192.29,136588100,0
2006-10-31,31.98,38.59,30.58,38.09,38.09,209485000,0
2003-05-30,28.68,36.09,28.15,35.89,35.89,190833800,0
2003-10-31,48.37,61.15,47.51,54.43,54.43,288225300,0
2001-09-28,8.95,9.19,5.67,5.97,5.97,126843400,0
2019-01-31,1465.2,1736.41,1460.93,1718.73,1718.73,134015530,0
2018-10-31,2021.99,2033.19,1476.36,1598.01,1598.01,183228552,0
2018-01-31,1172,1472.58,1170.51,1450.89,1450.89,94145634,0
2009-10-30,92.5,125.68,88.27,118.81,118.81,268616400,0
2012-01-31,175.89,196.5,173.5,194.44,194.44,110536900,0
2011-09-30,215.28,244,204.47,216.23,216.23,143623300,0
2008-07-31,72.21,82.38,62.99,76.34,76.34,215813300,0
2007-03-30,39.32,40.24,37.04,39.79,39.79,142153100,0
2017-11-30,1105.4,1213.41,1086.87,1176.75,1176.75,76272767,0
2015-08-31,537.45,542.74,451,512.89,512.89,82893196,0
2013-05-31,253.9,271.91,245.75,269.2,269.2,59050500,0
2012-09-28,248.27,264.11,244.66,254.32,254.32,63570500,0
2006-09-29,30.85,32.81,29.68,32.12,32.12,146018700,0
2002-06-28,18.31,19.16,14.68,16.25,16.25,142617800,0
2015-12-31,673.75,696.44,635.27,675.89,675.89,90220804,0
2006-05-31,35.06,36.5,31.52,34.61,34.61,146896000,0
2005-10-31,45.33,47,38.72,39.86,39.86,146980100,0
2004-02-27,50.56,50.65,42.23,43.01,43.01,185747700,0
2002-10-31,16.23,20.26,16.01,19.35,19.35,203538600,0
2001-11-30,7.08,12.4,6.6,11.32,11.32,310965300,0
2009-04-30,73.015,86.68,71.71,80.52,80.52,185032000,0
2009-02-27,58.57,67.36,58.13,64.79,64.79,186780200,0
2006-06-30,34.625,38.84,32.42,38.68,38.68,115117400,0
2004-01-30,52.76,57.82,48.6,50.4,50.4,217934700,0
2002-04-30,14.8,17.05,12.52,16.69,16.69,158958600,0
2002-03-28,14.13,16.96,13.55,14.3,14.3,164817800,0
2009-12-31,136.97,145.91,125.6474,134.52,134.52,207471100,0
2009-11-30,118.66,136.08,116.25,135.91,135.91,160305100,0
2005-12-30,48.88,50.001,47.14,47.15,47.15,121167800,0
2005-04-29,34.63,35.34,30.6,32.36,32.36,162491300,0
2006-08-31,26.55,30.99,25.76,30.83,30.83,159186800,0
2003-11-28,54.8,57.49,47.67,53.97,53.97,181979000,0
