Date,Open,High,Low,Close,AdjustedClose,Volume,DividendAmount
2017-11-30,1017.21,1062.38,1013.01,1021.41,1021.41,23866071,0
2016-10-31,774.25,816.68,769.5,784.54,784.54,33956196,0
2016-08-31,761.09,789.75,761.09,767.05,767.05,26385341,0
2014-05-30,527.11,567.84,503.3,559.89,559.89,36527700,0
2020-05-29,1328.5,1441,1299,1428.92,1428.92,31883800,0
2017-12-29,1015.8,1078.49,988.28,1046.4,1046.4,27458240,0
2017-08-31,932.38,941.98,903.4,939.33,939.33,27325965,0
2016-05-31,697.63,739.73,689.01,735.72,735.72,35000414,0
2015-08-31,625.34,674.9,565.05,618.25,618.25,53395840,0
2019-09-30,1177.03,1248.3,1163.2,1219,1219,27186490,0
2019-03-29,1124.9,1231.79,1123.3,1173.31,1173.31,31658936,0
2018-01-31,1048.34,1186.89,1045.23,1169.94,1169.94,27111134,0
2015-02-27,531.73,564.71,518.55,558.4,558.4,32508126,0
2020-04-30,1122,1359.99,1079.81,1348.66,1348.66,46336723,0
2016-09-30,769.25,789.85,754.0001,777.29,777.29,27600794,0
2015-06-30,536.79,543.74,520.5,520.51,520.51,34342523,0
2015-05-29,538.43,544.19,521.085,532.11,532.11,31866779,0
2014-12-31,538.9,541.41,489,526.4,526.4,45796626,0
2014-10-31,576.01,581,508.1,559.08,559.08,52083039,0
2020-01-31,1341.55,1503.21,1341.55,1434.23,1434.23,33406912,0
2019-05-31,1188.05,1190.85,1100.18,1103.63,1103.63,33323762,0
2019-02-28,1112.4,1147,1086,1119.92,1119.92,28934646,0
2018-04-30,1022.82,1094.16,990.37,1017.33,1017.33,41773275,0
2017-03-31,828.85,853.5,803.37,829.56,829.56,33840342,0
2019-12-31,1301,1365,1279,1337.02,1337.02,27627707,0
2019-01-31,1016.57,1117.33,1014.07,1116.37,1116.37,30714651,0
2018-07-31,1099,1273.89,1093.8,1217.26,1217.26,31953386,0
2017-07-31,912.18,986.2,894.79,930.5,930.5,35416014,0
2014-08-29,570.4,587.34,560,571.6,571.6,27586000,0
2018-05-31,1013.66,1110.75,1006.29,1084.99,1084.99,31849196,0
2015-12-31,747.11,779.98,724.17,758.88,758.88,43110708,0
2020-09-30,1636.63,1733.1799,1406.55,1469.6,1469.6,40462505,0
2019-08-30,1214.03,1234.11,1140.14,1188.1,1188.1,28921401,0
2018-10-31,1199.89,1209.96,995.83,1076.77,1076.77,48496167,0
2015-01-30,529.01,542.17,487.56,534.52,534.52,50087655,0
2017-09-29,941.13,959.786,909.7,959.11,959.11,27177858,0
2016-04-29,738.6,769.9,689,693.01,693.01,42154738,0
2020-02-28,1462,1532.11,1271,1339.33,1339.33,37103140,0
2019-11-29,1265,1335.53,1260.5,1304.96,1304.96,24956906,0
2019-10-31,1219,1299.31,1162.43,1260.11,1260.11,29219555,0
2019-06-28,1065.5,1124.11,1025,1080.91,1080.91,34098832,0
2018-09-28,1204.27,1212.99,1146.91,1193.47,1193.47,28863199,0
2017-10-31,959.98,1048.39,947.84,1016.64,1016.64,30768015,0
2014-04-30,558.71,604.83,502.8,526.66,526.66,67171200,0
2017-01-31,778.81,841.95,775.8,796.79,796.79,33332821,0
2016-03-31,703.62,757.88,685.34,744.95,744.95,41727507,0
2014-06-30,560.7,582.45,538.75,575.28,575.28,37898400,0
2020-08-31,1486.64,1659.22,1458.65,1634.18,1634.18,37293396,0
2020-07-31,1411.1,1586.99,1409.82,1482.96,1482.96,35345880,0
2019-07-31,1098,1265.55,1093.7,1216.68,1216.68,32952483,0
2019-04-30,1184.1,1289.27,1175,1188.48,1188.48,27860634,0
2018-03-29,1107.87,1177.05,980.64,1031.79,1031.79,43301942,0
2016-07-29,692.2,778.55,688.215,768.79,768.79,29914808,0
2014-09-30,571.85,596.48,568.21,577.36,577.36,33421676,0
2014-07-31,578.32,599.65,565.01,571.6,571.6,34516100,0
2020-06-30,1418.39,1475.94,1347.01,1413.61,1413.61,38833363,0
2020-03-31,1351.61,1410.15,1013.54,1162.81,1162.81,71398419,0
2018-12-31,1123.14,1124.65,970.11,1035.61,1035.61,40256461,0
2018-06-29,1099.35,1186.29,1096.01,1115.65,1115.65,32103642,0
2017-06-30,968.95,988.25,908.31,908.73,908.73,42736021,0
2015-11-30,711.06,762.7075,705.85,742.6,742.6,33934938,0
2017-05-31,901.94,979.27,901.45,964.86,964.86,31802202,0
2017-04-28,829.22,916.85,817.02,905.96,905.96,24742467,0
2017-02-28,799.68,833.45,791.19,823.21,823.21,25689522,0
2015-09-30,602.36,650.9,589.38,608.42,608.42,47857854,0
2015-04-30,548.6,571.14,521.01,537.34,537.34,42283442,0
2015-03-31,560.53,577.91,544.22,548,548,38542782,0
2018-08-31,1228,1256.5,1188.24,1218.19,1218.19,28820379,0
2016-12-30,757.44,804.3799,737.0245,771.82,771.82,32097980,0
2016-06-30,734.53,737.21,663.284,692.1,692.1,39375913,0
2016-02-29,750.46,789.8699,663.06,697.77,697.77,64367114,0
2014-11-28,555.5,557.9,530.08,541.83,541.83,28445740,0
2015-07-31,524.73,678.64,515.18,625.61,625.61,63319457,0
2018-11-30,1075.8,1095.57,996.02,1094.43,1094.43,36735570,0
2018-02-28,1162.61,1174,992.56,1104.73,1104.73,40388224,0
2016-11-30,782.89,795.633,727.54,758.04,758.04,42688236,0
2016-01-29,743,752,673.26,742.95,742.95,46561234,0
2015-10-30,608.37,730,599.85,710.81,710.81,49513250,0
