Date,Open,High,Low,Close,AdjustedClose,Volume,DividendAmount
2020-03-31,711.26,806.98,350.51,524,104.8,420935000,0
2019-12-31,329.4,435.31,327.25,418.33,83.666,207080000,0
2018-11-30,338.26,366.75,325,350.48,70.096,133015842,0
2016-07-29,206.14,235.28,206,234.79,46.958,74068654,0
2014-07-31,242.46,243.44,213.6,223.3,44.66,107871700,0
2020-07-31,1083,1794.99,1080.5,1430.76,286.152,378673561,0
2013-03-28,35,39.49,34.25,37.89,7.578,29655000,0
2013-02-28,38.17,40,33.8,34.83,6.966,44256000,0
2013-01-31,35,38.71,32.11,37.51,7.502,28464600,0
2011-08-31,28.67,29.2,21.5,24.74,4.948,27215700,0
2010-08-31,20.5,22.18,17.39,19.48,3.896,15038200,0
2020-05-29,755,843.29,683.04,835,167,272827500,0
2018-12-31,360,379.49,294.09,332.8,66.56,146411938,0
2015-03-31,202.7,206.19,181.4,188.77,37.754,122990032,0
2014-03-31,237.26,260,203,208.45,41.69,166685600,0
2010-12-31,35.87,36.42,25,26.63,5.326,36892900,0
2019-08-30,242.65,244.51,211,225.61,45.122,133899476,0
2018-05-31,293.51,312.99,273.42,284.73,56.946,155530600,0
2016-11-30,198.04,199.35,178.19,189.4,37.88,98886097,0
2010-11-30,21.94,36,21.05,35.33,7.066,28315100,0
2010-10-29,20.69,21.87,20,21.84,4.368,6547800,0
2017-10-31,342.52,363,316.66,331.53,66.306,121524280,0
2016-08-31,235.5,236.63,208.65,212.01,42.402,62291339,0
2015-11-30,208.92,234.5843,205.8,230.26,46.052,78487987,0
2012-10-31,29.5,30.1,26.86,28.1314,5.6263,17620900,0
2011-05-31,27.6,30.28,25.52,30.14,6.028,30348800,0
2011-03-31,24.05,28.71,21.77,27.75,5.55,32563300,0
2019-09-30,224.08,253.5,218.36,240.87,48.174,135775300,0
2018-10-31,305.77,347.16,247.77,337.32,67.464,286360700,0
2010-09-30,19.62,23.16,19.5,20.405,4.081,18045900,0
